,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
0,0,F29414,2465,C,1.0,58:42.0,03/09/2019,03/09/2019 00:00,18/09/2019,04/09/2019,3980.0,0.0,0.0
1,1,F29415,3926,C,1.0,55:14.0,03/09/2019,03/09/2019 00:00,03/10/2019,03/09/2019,1550.0,0.0,0.0
2,2,F29416,3926,C,1.0,25:33.0,03/09/2019,03/09/2019 00:00,03/10/2019,03/09/2019,1550.0,0.0,0.0
3,3,F29417,3926,C,1.0,33:23.0,03/09/2019,03/09/2019 00:00,03/10/2019,17/09/2019,1550.0,0.0,0.0
4,4,F29418,6813,C,2.0,23:45.0,03/09/2019,03/09/2019 00:00,03/09/2019,10/09/2019,2435.44,0.0,0.0
5,5,F29419,2465,E,1.0,15:12.0,04/09/2019,04/09/2019 00:00,19/09/2019,,3979.998,0.0,0.0
6,6,F29420,6828,C,2.0,53:53.0,04/09/2019,04/09/2019 00:00,04/09/2019,04/09/2019,402.59,0.0,0.0
7,7,F29421,6828,E,2.0,56:44.0,04/09/2019,04/09/2019 00:00,04/09/2019,,402.59,0.0,0.0
8,8,F29422,5926,C,2.0,14:44.0,04/09/2019,02/09/2019 00:00,04/09/2019,04/09/2019,1606.74,0.0,0.0
9,9,F29423,5926,C,2.0,23:05.0,04/09/2019,02/09/2019 00:00,04/09/2019,04/09/2019,1144.43,0.0,0.0
10,10,F29424,5926,E,2.0,36:15.0,04/09/2019,03/09/2019 00:00,04/09/2019,,462.31,0.0,0.0
11,11,F29425,5926,E,2.0,03:04.0,04/09/2019,02/09/2019 00:00,04/09/2019,,1144.43,0.0,0.0
12,12,F29426,6829,C,2.0,19:19.0,04/09/2019,04/09/2019 00:00,04/09/2019,11/09/2019,157.758,0.0,0.0
13,13,F29427,6829,E,2.0,44:13.0,04/09/2019,04/09/2019 00:00,04/09/2019,,157.758,0.0,0.0
14,14,F29428,3686,C,2.0,42:39.0,04/09/2019,04/09/2019 00:00,19/09/2019,11/09/2019,1724.137,0.0,0.0
15,15,F29429,6830,E,2.0,59:46.0,04/09/2019,04/09/2019 00:00,04/09/2019,,1415.5172,0.0,0.0
16,16,F29430,2465,E,1.0,39:29.0,05/09/2019,05/09/2019 00:00,20/09/2019,,1989.999,0.0,0.0
17,17,F29431,5953,C,2.0,09:49.0,05/09/2019,05/09/2019 00:00,05/09/2019,11/09/2019,258.66,0.0,0.0
18,18,F29432,1965,C,2.0,05:04.0,05/09/2019,05/09/2019 00:00,20/09/2019,06/09/2019,976.5,0.0,0.0
