,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
7043,7043,F36459,8419,E,2.0,10:40.1,20/10/2021,20/10/2021 00:00,20/10/2021,,1312.5,0.0,0.0
7044,7044,F36460,5591,E,2.0,14:43.5,20/10/2021,20/10/2021 00:00,20/10/2021,,22055.0,0.0,0.0
7045,7045,F36461,5593,E,1.0,44:43.1,20/10/2021,25/10/2021 00:00,04/11/2021,,4498.0,0.0,0.0
7046,7046,F36462,8483,E,2.0,47:16.7,20/10/2021,20/10/2021 00:00,20/10/2021,,6258.97,0.0,0.0
7047,7047,F36463,5926,E,2.0,52:46.6,20/10/2021,20/10/2021 00:00,20/10/2021,,864.0,0.0,0.0
7048,7048,F36464,6458,E,2.0,46:28.6,21/10/2021,21/10/2021 00:00,21/10/2021,,2147.5,0.0,0.0
7049,7049,F36465,8128,E,2.0,29:46.5,21/10/2021,21/10/2021 00:00,21/10/2021,,444.24,0.0,0.0
7050,7050,F36466,8128,E,2.0,31:57.9,21/10/2021,21/10/2021 00:00,21/10/2021,,56.875,0.0,0.0
7051,7051,F36467,8314,E,2.0,35:13.6,21/10/2021,21/10/2021 00:00,21/10/2021,,284.375,0.0,0.0
7052,7052,F36468,484,E,2.0,19:43.5,21/10/2021,21/10/2021 00:00,05/11/2021,,773.86,0.0,0.0
7053,7053,F36469,401,E,2.0,07:23.9,21/10/2021,20/10/2021 00:00,05/11/2021,,1392.0,0.0,0.0
7054,7054,F36470,3803,E,2.0,51:34.3,21/10/2021,20/10/2021 00:00,20/11/2021,,5450.0,0.0,0.0
7055,7055,F36471,8145,E,1.0,01:19.7,21/10/2021,18/10/2021 00:00,21/10/2021,,24300.0,0.0,0.0
7056,7056,F36472,8316,E,2.0,04:29.3,21/10/2021,21/10/2021 00:00,21/10/2021,,9500.0,0.0,0.0
7057,7057,F36473,5598,E,2.0,09:55.2,21/10/2021,20/10/2021 00:00,21/10/2021,,1988.8,0.0,0.0
7058,7058,F36474,8484,E,2.0,42:35.2,21/10/2021,21/10/2021 00:00,21/10/2021,,1136.0,0.0,0.0
7059,7059,F36475,5804,E,2.0,09:27.5,21/10/2021,18/10/2021 00:00,21/10/2021,,993.0,0.0,0.0
7060,7060,F36476,8257,E,6.0,22:10.7,21/10/2021,21/10/2021 00:00,20/11/2021,,2250.0,0.0,0.0
7061,7061,F36477,908,E,2.0,36:40.9,22/10/2021,21/10/2021 00:00,06/11/2021,,1995.5,0.0,0.0
7062,7062,F36478,8475,E,2.0,42:43.0,22/10/2021,22/10/2021 00:00,22/10/2021,,2400.0,0.0,0.0
7063,7063,F36479,1016,E,3.0,16:25.8,22/10/2021,22/10/2021 00:00,21/11/2021,,4400.0,0.0,0.0
7064,7064,F36480,8479,E,2.0,07:45.5,22/10/2021,21/10/2021 00:00,22/10/2021,,302.98,0.0,0.0
7065,7065,F36481,8482,E,2.0,35:37.9,22/10/2021,22/10/2021 00:00,22/10/2021,,1416.7,0.0,0.0
7066,7066,F36482,8196,E,2.0,08:55.9,22/10/2021,22/10/2021 00:00,22/10/2021,,224.22,0.0,0.0
7067,7067,F36483,2357,E,2.0,30:30.8,22/10/2021,06/10/2021 00:00,22/10/2021,,3552.5,0.0,0.0
